query,impressions,clicks,ctr,position
hoka walking shoes review,39911,1205,0.030203,9.79
hoka basketball shoes sale,39873,132,0.003317,24.29
mizuno cricket shoes sale,39830,2551,0.064063,4.22
altra trail shoes buy,39672,379,0.009572,18.94
vegan running shoes,39489,7334,0.185738,1.81
new-balance football boots sale,39435,1707,0.043289,7.61
running shoes flat feet,39355,293,0.00746,13.5
mizuno trail shoes 2024,39331,442,0.011252,12.63
new-balance running shoes buy,38518,95,0.002479,20.07
puma basketball shoes 2024,38352,853,0.022248,9.81
on-running tennis shoes review,38281,196,0.005134,24.25
brooks basketball shoes buy,38278,277,0.007248,16.66
brooks casual shoes womens,37985,3066,0.080739,3.53
altra yoga mens,37941,2257,0.059496,5.77
altra casual shoes womens,37682,1058,0.028095,8.51
under-armour swimming buy,37217,353,0.009503,16.75
puma tennis shoes mens,36945,210,0.005705,24.2
running shoes near me,36842,349,0.00949,18.43
new-balance running shoes womens,36484,147,0.004045,20.74
reebok cycling shoes womens,36340,299,0.008233,12.94
hoka hiking boots 2024,36250,216,0.005966,22.66
puma yoga womens,36217,4376,0.120837,2.01
reebok football boots mens,36010,1457,0.040465,6.09
reebok gym shoes womens,35521,4715,0.132762,2.52
adidas cricket shoes mens,35452,186,0.005253,23.96
nike running shoes,35334,1182,0.033471,7.09
salomon swimming mens,35182,482,0.013716,11.44
salomon running shoes sale,34724,255,0.007348,14.99
salomon badminton shoes sale,34660,268,0.007744,16.79
on-running tennis shoes buy,34528,1155,0.033463,8.42
brooks yoga womens,34321,159,0.004656,19.89
running shoes wide fit,34157,107,0.003144,23.34
under-armour football boots review,34024,446,0.013121,14.38
brooks basketball shoes 2024,33652,884,0.026287,9.52
asics cycling shoes 2024,33358,485,0.014549,11.9
new-balance cycling shoes mens,33125,2349,0.070933,4.59
saucony tennis shoes 2024,32862,722,0.021976,11.09
adidas trail shoes review,32487,249,0.007683,17.22
salomon gym shoes buy,32407,126,0.003895,21.45
new-balance hiking boots mens,32365,88,0.002731,21.85
adidas basketball shoes sale,32308,153,0.004751,21.81
running shoes sale,31903,288,0.00903,14.42
reebok football boots review,31823,160,0.005037,18.37
cheap running shoes,31819,161,0.005072,19.81
on-running badminton shoes mens,31807,110,0.003485,23.99
puma running shoes mens,31547,181,0.005759,20.18
mizuno swimming sale,31465,100,0.003198,23.73
brooks ghost 15,31111,177,0.005703,20.76
mizuno cricket shoes review,31079,571,0.018387,8.32
altra cricket shoes buy,30949,838,0.027097,9.25
salomon gym shoes 2024,30817,181,0.0059,21.74
on-running tennis shoes 2024,30271,143,0.004726,24.07
mizuno cycling shoes buy,30120,234,0.007786,15.18
asics trail shoes womens,29872,396,0.013266,11.93
brooks swimming womens,29848,1013,0.03395,7.1
vans basketball shoes sale,29802,70,0.002362,20.92
new-balance football boots mens,29710,306,0.010312,13.5
brooks basketball shoes review,29650,277,0.009365,13.75
hoka yoga sale,29356,1192,0.040619,7.51
mizuno tennis shoes sale,29229,160,0.005483,19.51
puma gym shoes mens,29180,131,0.004493,20.72
puma walking shoes review,28872,331,0.011472,12.65
nike swimming 2024,28662,718,0.025081,9.35
new-balance badminton shoes 2024,28419,565,0.019914,10.9
best running shoes,28123,2518,0.089547,3.56
hoka gym shoes 2024,27983,1296,0.046316,5.41
salomon running shoes 2024,27459,372,0.013576,14.39
new-balance yoga mens,27304,2258,0.082706,3.15
brooks cycling shoes 2024,27185,545,0.020061,9.26
new balance 1080,26456,117,0.004456,23.34
mizuno cricket shoes 2024,26453,601,0.022754,9.76
asics cricket shoes 2024,26401,2298,0.087072,3.21
minimalist running shoes,26096,649,0.024893,9.48
puma running shoes womens,25947,254,0.009826,18.56
adidas trail shoes womens,25453,860,0.033789,6.54
asics running shoes womens,25205,58,0.002314,20.4
mizuno walking shoes buy,25161,215,0.008569,14.33
vans yoga sale,25149,1010,0.040171,6.55
saucony football boots buy,24957,4369,0.175072,1.51
hoka walking shoes womens,24912,417,0.016758,11.63
saucony running shoes buy,24698,1103,0.04468,5.79
puma swimming review,24060,208,0.008656,15.87
reebok casual shoes mens,23897,2112,0.088383,3.42
asics hiking boots womens,23820,788,0.033088,8.17
reebok badminton shoes buy,23532,61,0.002624,21.07
under-armour football boots buy,23262,4067,0.174876,1.44
reebok gym shoes mens,22961,202,0.008833,19.93
best running shoes 2024,22767,709,0.031161,8.36
adidas casual shoes womens,22612,100,0.004456,18.97
marathon shoes,22379,300,0.013407,13.2
puma badminton shoes buy,22311,145,0.006531,16.37
altra swimming buy,21085,195,0.009281,18.45
saucony basketball shoes womens,20891,277,0.013283,13.41
reebok hiking boots sale,20654,198,0.009617,17.35
nike running shoes buy,20183,67,0.003334,23.13
salomon cricket shoes womens,20174,328,0.016293,10.18
nike tennis shoes 2024,20159,388,0.019284,11.55
brooks trail shoes mens,19484,2213,0.113599,2.74
new-balance tennis shoes 2024,19294,580,0.030077,8.61
hoka swimming buy,19053,39,0.002055,21.85
mizuno hiking boots review,18977,295,0.015565,10.15
under-armour running shoes womens,18843,3612,0.191703,1.83
brooks running shoes buy,18688,57,0.003077,24.34
vans casual shoes review,18562,53,0.002902,23.66
best budget running shoes,18321,400,0.021847,9.35
neutral running shoes,18283,1707,0.09339,3.08
running shoes for men,18259,636,0.034861,9.78
under-armour casual shoes 2024,18143,214,0.011823,11.63
under-armour yoga buy,18016,167,0.009277,13.4
salomon running shoes review,17980,322,0.017956,10.33
puma running shoes 2024,17978,747,0.041593,5.82
asics basketball shoes mens,17855,614,0.034427,7.31
reebok trail shoes buy,17689,1028,0.058168,5.43
mizuno cycling shoes buy,17649,803,0.045535,6.82
on-running football boots review,17620,72,0.004116,20.77
reebok tennis shoes womens,17593,600,0.034136,6.81
under-armour gym shoes mens,17458,156,0.008986,13.86
reebok hiking boots sale,17311,145,0.0084,14.8
salomon trail shoes sale,17224,106,0.006166,18.87
vans cross training review,17096,128,0.00754,12.57
mizuno basketball shoes review,16865,666,0.039531,6.17
reebok casual shoes mens,16577,198,0.011959,11.49
vans swimming sale,16413,501,0.030539,8.42
saucony badminton shoes review,16303,66,0.004075,22.07
altra yoga buy,15664,70,0.004532,24.36
puma badminton shoes review,15576,1088,0.069861,4.0
salomon cricket shoes buy,15268,134,0.008801,17.25
cushioned running shoes,15258,101,0.00668,16.82
puma cross training buy,15179,79,0.005257,24.5
brooks yoga mens,15104,55,0.003669,21.94
on-running swimming mens,14755,590,0.040003,7.73
