page,query,issue_type,priority,impressions,clicks,position,ctr,competing_pages,dominant_page,total_query_impressions,estimated_gain,action
https://demo-store.com/category/running-shoes,best running shoes,Keyword Cannibalization,High,7702,210,9.6,0.027266,4,https://demo-store.com/category/running-shoes,22658,906,HIGH PRIORITY: 4 pages splitting traffic for 'best running shoes'. Consolidate content into 'https://demo-store.com/category/running-shoes'. 301-redirect or noindex the weaker pages. Add canonical tags pointing to the dominant page.
https://demo-store.com/sale/new-arrivals,best running shoes,Keyword Cannibalization,High,6835,525,4.66,0.076811,4,https://demo-store.com/category/running-shoes,22658,906,HIGH PRIORITY: 4 pages splitting traffic for 'best running shoes'. Consolidate content into 'https://demo-store.com/category/running-shoes'. 301-redirect or noindex the weaker pages. Add canonical tags pointing to the dominant page.
https://demo-store.com/collection/mens-running,best running shoes,Keyword Cannibalization,High,4649,181,6.05,0.038933,4,https://demo-store.com/category/running-shoes,22658,906,HIGH PRIORITY: 4 pages splitting traffic for 'best running shoes'. Consolidate content into 'https://demo-store.com/category/running-shoes'. 301-redirect or noindex the weaker pages. Add canonical tags pointing to the dominant page.
https://demo-store.com/blog/best-running-shoes-2024,best running shoes,Keyword Cannibalization,High,3472,158,6.75,0.045507,4,https://demo-store.com/category/running-shoes,22658,906,HIGH PRIORITY: 4 pages splitting traffic for 'best running shoes'. Consolidate content into 'https://demo-store.com/category/running-shoes'. 301-redirect or noindex the weaker pages. Add canonical tags pointing to the dominant page.
https://demo-store.com/blog/nike-vs-adidas,nike running shoes,Keyword Cannibalization,High,7884,240,8.68,0.030441,3,https://demo-store.com/blog/nike-vs-adidas,20921,836,HIGH PRIORITY: 3 pages splitting traffic for 'nike running shoes'. Consolidate content into 'https://demo-store.com/blog/nike-vs-adidas'. 301-redirect or noindex the weaker pages. Add canonical tags pointing to the dominant page.
https://demo-store.com/category/running-shoes,nike running shoes,Keyword Cannibalization,High,7313,491,5.61,0.067141,3,https://demo-store.com/blog/nike-vs-adidas,20921,836,HIGH PRIORITY: 3 pages splitting traffic for 'nike running shoes'. Consolidate content into 'https://demo-store.com/blog/nike-vs-adidas'. 301-redirect or noindex the weaker pages. Add canonical tags pointing to the dominant page.
https://demo-store.com/brands/nike,nike running shoes,Keyword Cannibalization,High,5724,111,9.32,0.019392,3,https://demo-store.com/blog/nike-vs-adidas,20921,836,HIGH PRIORITY: 3 pages splitting traffic for 'nike running shoes'. Consolidate content into 'https://demo-store.com/blog/nike-vs-adidas'. 301-redirect or noindex the weaker pages. Add canonical tags pointing to the dominant page.
https://demo-store.com/category/trail-shoes,trail running shoes,Keyword Cannibalization,High,7785,494,4.09,0.063455,3,https://demo-store.com/category/trail-shoes,20267,810,HIGH PRIORITY: 3 pages splitting traffic for 'trail running shoes'. Consolidate content into 'https://demo-store.com/category/trail-shoes'. 301-redirect or noindex the weaker pages. Add canonical tags pointing to the dominant page.
https://demo-store.com/blog/top-trail-shoes-review,trail running shoes,Keyword Cannibalization,High,6291,385,5.86,0.061199,3,https://demo-store.com/category/trail-shoes,20267,810,HIGH PRIORITY: 3 pages splitting traffic for 'trail running shoes'. Consolidate content into 'https://demo-store.com/category/trail-shoes'. 301-redirect or noindex the weaker pages. Add canonical tags pointing to the dominant page.
https://demo-store.com/brands/salomon,trail running shoes,Keyword Cannibalization,High,6191,175,8.22,0.028267,3,https://demo-store.com/category/trail-shoes,20267,810,HIGH PRIORITY: 3 pages splitting traffic for 'trail running shoes'. Consolidate content into 'https://demo-store.com/category/trail-shoes'. 301-redirect or noindex the weaker pages. Add canonical tags pointing to the dominant page.
https://demo-store.com/sale/flash-sale,cheap running shoes,Keyword Cannibalization,High,7981,503,5.5,0.063025,3,https://demo-store.com/sale/flash-sale,19043,761,HIGH PRIORITY: 3 pages splitting traffic for 'cheap running shoes'. Consolidate content into 'https://demo-store.com/sale/flash-sale'. 301-redirect or noindex the weaker pages. Add canonical tags pointing to the dominant page.
https://demo-store.com/blog/best-budget-running-shoes,cheap running shoes,Keyword Cannibalization,High,7833,403,4.44,0.051449,3,https://demo-store.com/sale/flash-sale,19043,761,HIGH PRIORITY: 3 pages splitting traffic for 'cheap running shoes'. Consolidate content into 'https://demo-store.com/sale/flash-sale'. 301-redirect or noindex the weaker pages. Add canonical tags pointing to the dominant page.
https://demo-store.com/sale/clearance,cheap running shoes,Keyword Cannibalization,High,3229,91,7.79,0.028182,3,https://demo-store.com/sale/flash-sale,19043,761,HIGH PRIORITY: 3 pages splitting traffic for 'cheap running shoes'. Consolidate content into 'https://demo-store.com/sale/flash-sale'. 301-redirect or noindex the weaker pages. Add canonical tags pointing to the dominant page.
https://demo-store.com/brands/adidas,adidas running shoes,Keyword Cannibalization,Medium,6508,399,4.54,0.061309,2,https://demo-store.com/brands/adidas,11253,450,HIGH PRIORITY: 2 pages splitting traffic for 'adidas running shoes'. Consolidate content into 'https://demo-store.com/brands/adidas'. 301-redirect or noindex the weaker pages. Add canonical tags pointing to the dominant page.
https://demo-store.com/blog/nike-vs-adidas,adidas running shoes,Keyword Cannibalization,Medium,4745,131,8.49,0.027608,2,https://demo-store.com/brands/adidas,11253,450,HIGH PRIORITY: 2 pages splitting traffic for 'adidas running shoes'. Consolidate content into 'https://demo-store.com/brands/adidas'. 301-redirect or noindex the weaker pages. Add canonical tags pointing to the dominant page.
