page,impressions,clicks,ctr,position,page_type,expected_ctr,ctr_ratio,issue_type,priority,estimated_gain,action,url_type,opportunity_score,type,query,competing_pages,dominant_page,total_query_impressions,priority_score,rank
https://demo-store.com/product/new-balance-gym-shoes-935,46301,1445,0.031219,1.7,low_ctr,0.1916,0.1629,Low CTR,High,6095,"Position #1.7: actual CTR 3.1% vs 19.2% expected (16% of benchmark). Fixing could add +6,095 clicks/mo. CRITICAL: Top 3 but low CTR. Rewrite title with number/power word. Add FAQ schema. Add review schema for star ratings in SERPs.",product,22799.16,Low CTR,,,,,3,1
https://demo-store.com/product/brooks-cycling-shoes-398,44876,2467,0.054992,1.7,low_ctr,0.1916,0.287,Low CTR,High,4840,"Position #1.7: actual CTR 5.5% vs 19.2% expected (29% of benchmark). Fixing could add +4,840 clicks/mo. CRITICAL: Top 3 but low CTR. Rewrite title with number/power word. Add FAQ schema. Add review schema for star ratings in SERPs.",product,18821.52,Low CTR,,,,,3,2
https://demo-store.com/product/on-running-cricket-shoes-882,35691,1874,0.052529,1.53,low_ctr,0.21404,0.2454,Low CTR,High,4618,"Position #1.5: actual CTR 5.3% vs 21.4% expected (25% of benchmark). Fixing could add +4,618 clicks/mo. CRITICAL: Top 3 but low CTR. Rewrite title with number/power word. Add FAQ schema. Add review schema for star ratings in SERPs.",product,17602.89,Low CTR,,,,,3,3
https://demo-store.com/product/adidas-trail-shoes-961,35910,2052,0.057152,1.57,low_ctr,0.20876,0.2738,Low CTR,High,4319,"Position #1.6: actual CTR 5.7% vs 20.9% expected (27% of benchmark). Fixing could add +4,319 clicks/mo. CRITICAL: Top 3 but low CTR. Rewrite title with number/power word. Add FAQ schema. Add review schema for star ratings in SERPs.",product,16610.09,Low CTR,,,,,3,4
https://demo-store.com/product/new-balance-gym-shoes-650,45347,3290,0.072569,1.85,low_ctr,0.1718,0.4224,Low CTR,High,3331,"Position #1.9: actual CTR 7.3% vs 17.2% expected (42% of benchmark). Fixing could add +3,331 clicks/mo. CRITICAL: Top 3 but low CTR. Rewrite title with number/power word. Add FAQ schema. Add review schema for star ratings in SERPs.",product,14158.07,Low CTR,,,,,3,5
https://demo-store.com/product/mizuno-football-boots-221,34667,886,0.025563,2.19,low_ctr,0.14364,0.178,Low CTR,High,3346,"Position #2.2: actual CTR 2.6% vs 14.4% expected (18% of benchmark). Fixing could add +3,346 clicks/mo. CRITICAL: Top 3 but low CTR. Rewrite title with number/power word. Add FAQ schema. Add review schema for star ratings in SERPs.",product,13012.0,Low CTR,,,,,3,6
https://demo-store.com/product/brooks-cycling-shoes-428,47612,1204,0.02529,3.07,low_ctr,0.10597,0.2387,Low CTR,High,3084,"Position #3.1: actual CTR 2.5% vs 10.6% expected (24% of benchmark). Fixing could add +3,084 clicks/mo. Rewrite title tag. A/B test with numbers and current year. Add structured data. Add review schema for star ratings in SERPs.",product,11806.85,Low CTR,,,,,3,7
https://demo-store.com/product/puma-basketball-shoes-212,48482,738,0.015228,3.45,low_ctr,0.09495,0.1604,Low CTR,High,3174,"Position #3.5: actual CTR 1.5% vs 9.5% expected (16% of benchmark). Fixing could add +3,174 clicks/mo. Rewrite title tag. A/B test with numbers and current year. Add structured data. Add review schema for star ratings in SERPs.",product,11798.69,Low CTR,,,,,3,8
https://demo-store.com/product/under-armour-casual-shoes-201,29920,1760,0.058829,1.78,low_ctr,0.18104,0.325,Low CTR,High,2844,"Position #1.8: actual CTR 5.9% vs 18.1% expected (32% of benchmark). Fixing could add +2,844 clicks/mo. CRITICAL: Top 3 but low CTR. Rewrite title with number/power word. Add FAQ schema. Add review schema for star ratings in SERPs.",product,11346.07,Low CTR,,,,,3,9
https://demo-store.com/blog/cushioning-guide-2024,39031,1282,0.032859,2.57,low_ctr,0.12692,0.2589,Low CTR,High,2928,"Position #2.6: actual CTR 3.3% vs 12.7% expected (26% of benchmark). Fixing could add +2,928 clicks/mo. CRITICAL: Top 3 but low CTR. Rewrite title with number/power word. Add FAQ schema. Add FAQ schema for expanded SERP presence.",blog,11255.2,Low CTR,,,,,3,10
